,Año,Trimestre,Provincia,hasta 512kb,512Kb a 1Mb,1Mb a 6Mb,6Mb a 10Mb,10Mb a 20Mb,20Mb a 30Mb,mas de 30Mb,Otros,Total
197,2020,1,Córdoba,1420,5128,217229,120188,95827,65733,296875,9802,810924
198,2020,1,Corrientes,720,5270,33479,21382,26679,7351,19467,478,113737
199,2020,1,Entre Ríos,1300,4081,72280,47132,41125,11988,39794,13762,230292
200,2020,1,Formosa,1127,3420,23761,65,6564,9640,6918,1000,46276
201,2020,1,Jujuy,550,1820,33120,9979,26693,1660,7349,16545,94089
202,2020,1,La Pampa,2930,8110,72740,7199,3029,1342,2113,1618,89145
203,2020,1,La Rioja,210,10,37209,5158,464,220,1294,0,48345
204,2020,1,Mendoza,580,400,140410,12285,17489,286,3818,0,176960
205,2020,1,Misiones,710,5240,36622,21271,26433,11581,26313,10885,133700
206,2020,1,Neuquén,2180,3270,60152,5257,7123,5399,43738,0,122214
207,2020,1,Río Negro,1140,4660,69154,293,7857,3199,25488,17719,126927
208,2020,1,Salta,1290,5140,38537,63714,17991,8625,34744,6441,170695
209,2020,1,San Juan,480,1940,59787,1594,1292,400,127,4779,67861
210,2020,1,San Luis,1050,0,11322,4164,5250,58258,5,36075,110454
211,2020,1,Santa Cruz,670,110,27447,4993,5169,5290,119,0,38335
212,2020,1,Santa Fe,6960,2994,217553,196826,10456,48448,173823,17656,762556
213,2020,1,Santiago Del Estero,1330,1779,33086,56884,3737,1350,2799,4501,103054
214,2020,1,Tierra Del Fuego,110,10,22976,5024,1834,1960,518,7046,37606
215,2020,1,Tucumán,520,970,49555,50383,31096,173,67536,0,200449
216,2019,4,Buenos Aires,33489,27537,1177446,262297,247106,45257,1465133,28131,3693709
217,2019,4,Capital Federal,3070,150,177098,110218,110852,20581,754299,0,1358599
218,2019,4,Catamarca,630,0,9945,7619,9305,8040,7477,2151,37364
219,2019,4,Chaco,830,0,25899,18959,30902,13516,21556,6917,117832
220,2019,4,Chubut,1580,40,69405,12945,7615,124,614,45,96481
221,2019,4,Córdoba,1420,0,232781,118232,10933,114111,221742,9802,806140
222,2019,4,Corrientes,720,0,35055,2062,27367,9981,15744,478,113619
223,2019,4,Entre Ríos,470,0,88203,44511,42962,18976,30153,15107,239959
224,2019,4,Formosa,1127,1910,24606,6319,6788,1766,5671,1000,46568
225,2019,4,Jujuy,550,0,32920,9632,26764,1020,5286,16545,91304
226,2019,4,La Pampa,2930,3130,76747,69,1951,1287,1342,1618,90451
227,2019,4,La Rioja,210,0,37851,5045,4763,220,1305,0,49007
228,2019,4,Mendoza,7460,90,145139,12955,15237,2165,2628,0,178879
229,2019,4,Misiones,710,0,39664,2084,27305,15626,20799,11656,135961
230,2019,4,Neuquén,2180,10,57742,4439,7357,12059,35001,1220,116939
231,2019,4,Río Negro,1140,0,71847,2797,8558,6968,19837,17719,127840
232,2019,4,Salta,1490,10,42159,67656,15369,1417,25821,7435,172760
233,2019,4,San Juan,480,10,60626,1594,1292,400,127,4779,68507
234,2019,4,San Luis,1050,0,11901,4164,5250,55216,3,36075,107989
235,2019,4,Santa Cruz,670,0,32368,4346,2224,70,8,0,39020
236,2019,4,Santa Fe,6980,0,230234,190664,113527,70998,135576,18576,760273
237,2019,4,Santiago Del Estero,1330,9080,34911,56309,3756,1050,2449,4501,103072
238,2019,4,Tierra Del Fuego,110,0,23593,505,1848,1390,1962,9648,42251
239,2019,4,Tucumán,550,0,54544,52017,28916,6405,56720,0,198657
240,2019,3,Buenos Aires,23892,44648,1432722,222812,260506,483572,1246209,42294,3971683
241,2019,3,Capital Federal,1040,3680,269704,120924,138011,258591,655108,0,1442810
242,2019,3,Catamarca,340,430,14449,9285,6333,720,15,2151,32382
243,2019,3,Chaco,690,1216,32764,28198,13336,12987,16740,6917,112227
244,2019,3,Chubut,740,8400,62680,13033,7171,124,614,45,90152
245,2019,3,Córdoba,830,5824,240151,106651,118486,146247,157546,7353,782341
246,2019,3,Corrientes,100,5970,42231,29628,10348,10388,12674,478,110656
247,2019,3,Entre Ríos,190,4446,99656,56161,17064,21216,22645,15107,236314
248,2019,3,Formosa,111,3490,24943,6049,7117,2262,4443,1000,46373
249,2019,3,Jujuy,270,8850,31722,924,26835,560,3671,16545,88981
250,2019,3,La Pampa,2370,3289,75849,5922,1611,1359,941,1618,90826
251,2019,3,La Rioja,90,100,38657,4786,4887,220,1307,0,49678
252,2019,3,Mendoza,210,1269,206821,2958,10093,1263,349,0,222774
253,2019,3,Misiones,470,1928,43530,29375,11256,16107,16650,12206,131099
254,2019,3,Neuquén,450,2258,62909,4586,9597,16923,28458,1220,124898
255,2019,3,Río Negro,470,1234,87435,2348,9779,10176,15505,17719,144243
256,2019,3,Salta,490,9000,43160,6223,14309,11418,12357,7515,151938
257,2019,3,San Juan,220,1710,68315,2245,1267,410,128,4779,76968
258,2019,3,San Luis,570,1000,18643,5113,4670,62242,5,36075,122702
259,2019,3,Santa Cruz,280,840,31612,4472,1203,270,4,0,37430
260,2019,3,Santa Fe,6400,8184,242454,193286,107068,84325,97082,19537,752576
261,2019,3,Santiago Del Estero,390,1832,35554,55172,3612,860,1836,34501,132632
262,2019,3,Tierra Del Fuego,60,140,32133,4692,1756,820,226,9648,48557
263,2019,3,Tucumán,160,1100,71043,47693,24354,8430,20385,0,164444
264,2019,2,Buenos Aires,199768,46852,1436259,217785,438663,502275,985767,43438,3870807
265,2019,2,Capital Federal,740,1027,281370,124087,239691,296155,475991,0,1418395
266,2019,2,Catamarca,340,430,16631,867,6049,340,10,2151,33622
267,2019,2,Chaco,690,1383,38488,26431,16789,15348,9904,1492,109904
268,2019,2,Chubut,660,3952,69032,10049,1495,740,165,45,89333
269,2019,2,Córdoba,810,8165,248427,100512,157458,170159,76053,8938,769793
270,2019,2,Corrientes,100,3012,40424,27774,13114,11928,7119,608,109461
271,2019,2,Entre Ríos,180,5905,100687,52316,23196,24221,10664,17206,234213
272,2019,2,Formosa,111,3490,26512,5399,8384,2639,2258,1000,46751
273,2019,2,Jujuy,270,9400,26233,8441,267,270,2600,21765,86733
274,2019,2,La Pampa,2360,3289,75406,5191,1366,1445,629,2661,90223
275,2019,2,La Rioja,90,110,39819,4297,4857,130,1298,0,50304
276,2019,2,Mendoza,200,2522,205165,2971,10092,1256,234,0,222260
277,2019,2,Misiones,470,2226,45769,27385,15408,18882,8129,12206,130052
278,2019,2,Neuquén,3020,3038,61776,4688,17318,2121,14132,4220,122886
279,2019,2,Río Negro,3840,1354,86366,2201,10291,12407,6907,18519,138429
280,2019,2,Salta,490,9740,59638,36923,16961,14059,6461,7585,142650
281,2019,2,San Juan,220,2130,60913,2177,7850,70,4,6119,70240
282,2019,2,San Luis,570,1020,16575,4964,4670,57236,5,37977,117383
283,2019,2,Santa Cruz,250,840,24861,3806,1202,280,4,0,30010
284,2019,2,Santa Fe,3210,8427,300124,125176,129741,100131,49865,22323,736108
285,2019,2,Santiago Del Estero,390,1832,63268,21362,3741,1080,1205,34501,126056
286,2019,2,Tierra Del Fuego,60,1230,41824,4241,1573,960,32,0,47895
287,2019,2,Tucumán,160,1570,78891,44296,24291,6280,18394,0,166673
288,2019,1,Buenos Aires,162513,72296,1429964,202511,576428,576859,705769,6369,3732709
289,2019,1,Capital Federal,740,7417,283787,131007,330122,365713,283463,0,1401583
290,2019,1,Catamarca,340,1708,18761,6443,5606,290,7,2151,34739
291,2019,1,Chaco,690,3801,38719,25632,18965,12393,6368,1035,106982
292,2019,1,Chubut,660,3938,71077,6571,7870,740,165,0,82678
293,2019,1,Córdoba,810,20403,242769,96997,200681,127965,50716,6806,746418
294,2019,1,Corrientes,100,647,38402,26562,15498,9688,5029,0,101659
295,2019,1,Entre Ríos,180,9217,107013,50068,28957,18146,7619,12142,233180
296,2019,1,Formosa,111,3023,23085,5301,9027,2099,1654,0,45299
297,2019,1,Jujuy,270,2817,30727,7811,4021,300,1141,37162,83736
298,2019,1,La Pampa,2360,8327,70538,4466,1061,1354,405,6980,87085
299,2019,1,La Rioja,90,1169,40285,4088,5216,170,869,0,51653
300,2019,1,Mendoza,200,1786,205383,2837,5702,1110,140,0,215979
301,2019,1,Misiones,470,5946,45266,2589,19111,16552,5167,7654,125633
302,2019,1,Neuquén,1328,3055,52360,1781,21452,17135,11026,6105,114242
303,2019,1,Río Negro,3840,1583,84845,2037,13615,9567,5076,3719,120826
304,2019,1,Salta,490,4232,59244,36473,2291,10861,2242,10,136012
305,2019,1,San Juan,220,2290,62380,2660,5200,30,2,5600,63982
306,2019,1,San Luis,570,1200,21380,53214,3450,60,2,23577,98701
307,2019,1,Santa Cruz,250,1280,21990,2731,7020,260,4,0,25606
308,2019,1,Santa Fe,3330,2935,296798,122959,153212,74575,36502,18591,732320
309,2019,1,Santiago Del Estero,390,3372,62895,20691,3959,850,494,0,91535
310,2019,1,Tierra Del Fuego,60,1310,38851,3623,6410,800,29,0,43361
311,2019,1,Tucumán,160,5188,82240,42877,2621,8470,14839,0,172217
312,2018,4,Buenos Aires,134673,73761,1422463,194426,577679,949093,265386,6409,3623890
313,2018,4,Capital Federal,740,7388,283281,143309,330496,439526,186810,0,1390884
314,2018,4,Catamarca,340,1669,17955,6425,5461,290,7,2151,33731
315,2018,4,Chaco,690,3405,38707,25633,18965,12393,6368,1035,106575
316,2018,4,Chubut,660,3917,66061,6215,5310,6230,165,0,77578
317,2018,4,Córdoba,810,24102,228475,97277,201639,128053,48809,8296,736732
318,2018,4,Corrientes,100,6438,37406,26562,15498,9688,5029,0,100631
319,2018,4,Entre Ríos,180,8769,94780,50027,29002,18146,7612,13937,222291
320,2018,4,Formosa,111,3074,23050,5285,9027,2092,1654,0,45292
321,2018,4,Jujuy,270,2803,30727,7811,4021,300,1141,36577,83137
322,2018,4,La Pampa,2410,7727,70508,3661,9780,1328,270,6980,85411
323,2018,4,La Rioja,90,1164,40285,4088,5216,170,869,0,51648
324,2018,4,Mendoza,200,1463,198598,2494,4726,190,132,0,207452
325,2018,4,Misiones,470,5981,45566,26019,19226,16566,5167,6154,124726
326,2018,4,Neuquén,1328,3044,52313,1781,21452,17135,11025,6105,114183
327,2018,4,Río Negro,3840,1225,83412,6430,1344,9569,5070,3719,117462
328,2018,4,Salta,490,3659,58495,36365,2291,10861,2242,10,134582
329,2018,4,San Juan,220,1465,59811,1800,3120,10,1,4500,62242
330,2018,4,San Luis,570,1090,19164,53183,1190,620,2,23577,96273
331,2018,4,Santa Cruz,250,1150,23107,7790,2060,10,4,0,24237
332,2018,4,Santa Fe,3350,31397,276301,121009,152039,74432,36427,29731,721671
333,2018,4,Santiago Del Estero,390,325,61347,20127,3686,770,483,0,89009
334,2018,4,Tierra Del Fuego,60,270,35765,6323,9894,240,67,0,52106
335,2018,4,Tucumán,160,5244,82089,42766,26111,8470,14839,0,171912
